,Канал: 0,Канал: 1
136893,0.576,-2.461
137035,0.605,-2.363
137177,0.791,-2.246
137319,0.654,-2.148
137461,0.654,-2.031
137603,0.518,-1.934
137745,0.596,-1.836
137887,0.547,-1.680
138029,0.645,-1.553
138171,0.566,-1.406
138313,0.654,-1.250
138455,0.557,-1.094
138597,0.645,-0.938
138739,0.596,-0.752
138881,0.469,-0.615
139023,0.508,-0.469
139165,0.596,-0.332
139307,0.430,-0.205
139449,0.488,-0.059
139591,0.498,0.068
139733,0.322,0.215
139875,0.557,0.342
140017,0.479,0.488
140159,0.479,0.605
140301,0.410,0.723
140443,0.420,0.830
140585,0.303,0.938
140727,0.215,1.025
140869,0.244,1.123
141011,0.273,1.221
141153,0.137,1.299
141295,0.146,1.377
141437,0.068,1.475
141579,0.029,1.553
141721,0.029,1.641
141863,-0.127,1.689
142005,-0.166,1.768
142147,-0.176,1.826
142289,-0.225,1.895
142431,-0.293,1.963
142573,-0.322,2.031
142715,-0.410,2.090
142857,-0.342,2.148
142999,-0.420,2.197
143141,-0.342,2.236
143283,-0.420,2.285
143425,-0.400,2.314
143567,-0.547,2.354
143709,-0.527,2.402
143851,-0.430,2.402
143993,-0.596,2.451
144135,-0.518,2.480
144277,-0.576,2.500
144419,-0.605,2.549
144561,-0.566,2.568
144703,-0.596,2.578
144845,-0.605,2.646
144987,-0.674,2.676
145129,-0.615,2.744
145271,-0.596,2.793
145413,-0.693,2.852
145555,-0.635,2.891
145697,-0.684,2.930
145839,-0.742,2.969
145981,-0.732,2.949
146123,-0.713,2.920
146265,-0.742,2.871
146407,-0.664,2.793
146549,-0.654,2.656
146691,-0.732,2.549
146833,-0.801,2.471
146975,-0.791,2.373
147117,-0.586,2.275
147259,-0.674,2.158
147401,-0.752,2.061
147543,-0.742,1.943
147685,-0.791,1.826
147827,-0.762,1.709
147969,-0.830,1.592
148111,-0.713,1.455
148253,-0.693,1.299
148395,-0.791,1.123
148537,-0.732,0.967
148679,-0.781,0.811
148821,-0.742,0.645
148963,-0.703,0.498
149105,-0.713,0.361
149247,-0.635,0.225
149389,-0.693,0.078
149531,-0.693,-0.049
149673,-0.742,-0.176
149815,-0.586,-0.303
149957,-0.654,-0.449
150099,-0.615,-0.576
150241,-0.596,-0.693
150383,-0.586,-0.801
150525,-0.488,-0.918
150667,-0.508,-1.035
150809,-0.371,-1.123
150951,-0.400,-1.211
151093,-0.283,-1.299
151235,-0.391,-1.377
151377,-0.195,-1.455
151519,-0.156,-1.543
151661,-0.059,-1.611
151803,-0.098,-1.680
151945,-0.059,-1.748
152087,0.068,-1.807
152229,-0.029,-1.885
152371,0.059,-1.953
152513,0.068,-2.021
152655,0.078,-2.090
152798,0.254,-2.148
152940,0.156,-2.197
153082,0.215,-2.236
153224,0.264,-2.285
153366,0.225,-2.334
153508,0.352,-2.373
153650,0.361,-2.393
153792,0.352,-2.432
153934,0.332,-2.471
154076,0.371,-2.490
154218,0.371,-2.520
154360,0.410,-2.559
154502,0.391,-2.598
154644,0.391,-2.617
154786,0.400,-2.666
154928,0.371,-2.686
155070,0.381,-2.734
155212,0.449,-2.793
155354,0.527,-2.852
155496,0.469,-2.910
155638,0.566,-2.959
155780,0.508,-2.979
155922,0.488,-2.998
156064,0.430,-2.979
156206,0.498,-2.949
156348,0.547,-2.900
156490,0.498,-2.773
156632,0.566,-2.656
156774,0.605,-2.559
156916,0.596,-2.451
157058,0.664,-2.354
157200,0.557,-2.246
157342,0.596,-2.139
157484,0.645,-2.031
157626,0.557,-1.904
157768,0.498,-1.807
157910,0.557,-1.680
158052,0.420,-1.543
158194,0.518,-1.396
158336,0.488,-1.260
158478,0.625,-1.094
158620,0.557,-0.918
158762,0.537,-0.752
158904,0.576,-0.605
159046,0.439,-0.459
159188,0.547,-0.332
159330,0.469,-0.186
159472,0.586,-0.029
159614,0.498,0.088
159756,0.410,0.215
159898,0.498,0.361
160040,0.420,0.508
160182,0.391,0.615
160324,0.488,0.732
160466,0.313,0.850
160608,0.283,0.957
160750,0.273,1.055
160892,0.234,1.133
161034,0.244,1.230
161176,0.049,1.328
161318,0.088,1.396
161460,-0.049,1.484
161602,0.010,1.563
161744,-0.010,1.621
161886,-0.137,1.699
162028,-0.117,1.777
162170,-0.176,1.836
162312,-0.195,1.904
162454,-0.234,1.973
162596,-0.254,2.041
162738,-0.381,2.100
162880,-0.449,2.148
163022,-0.420,2.207
163164,-0.420,2.246
163306,-0.391,2.295
163448,-0.439,2.314
163590,-0.518,2.363
163732,-0.449,2.383
163874,-0.449,2.441
164016,-0.576,2.461
164158,-0.508,2.480
