,Канал: 0,Канал: 1
112665,0.518,-0.039
112776,0.518,0.049
112887,0.547,0.156
112998,0.449,0.264
113109,0.479,0.371
113220,0.410,0.469
113331,0.420,0.586
113442,0.420,0.674
113553,0.361,0.771
113664,0.400,0.840
113775,0.361,0.928
113886,0.352,1.006
113997,0.313,1.094
114108,0.186,1.152
114219,0.225,1.240
114330,0.078,1.299
114441,0.166,1.377
114552,0.176,1.436
114663,-0.068,1.504
114774,-0.088,1.563
114885,-0.078,1.631
114996,-0.117,1.689
115107,-0.117,1.738
115218,-0.215,1.787
115329,-0.186,1.846
115440,-0.234,1.875
115551,-0.244,1.953
115662,-0.342,2.002
115773,-0.400,2.051
115884,-0.371,2.100
115995,-0.313,2.158
116106,-0.469,2.188
116217,-0.400,2.246
116328,-0.420,2.256
116439,-0.449,2.295
116550,-0.381,2.334
116661,-0.293,2.363
116772,-0.527,2.383
116883,-0.527,2.412
116994,-0.371,2.451
117105,-0.498,2.471
117216,-0.479,2.490
117327,-0.537,2.500
117438,-0.488,2.529
117549,-0.625,2.539
117660,-0.557,2.578
117771,-0.654,2.607
117882,-0.654,2.617
117993,-0.547,2.646
118104,-0.605,2.676
118215,-0.645,2.715
118326,-0.557,2.754
118437,-0.557,2.783
118548,-0.596,2.842
118659,-0.596,2.881
118770,-0.576,2.900
118881,-0.664,2.939
118992,-0.703,2.959
119103,-0.674,2.969
119214,-0.811,2.959
119325,-0.742,2.939
119436,-0.732,2.910
119547,-0.801,2.871
119658,-0.869,2.764
119769,-0.762,2.666
119880,-0.732,2.607
119991,-0.781,2.520
120102,-0.713,2.441
120213,-0.771,2.373
120324,-0.791,2.295
120435,-0.742,2.197
120546,-0.771,2.148
120657,-0.742,2.051
120768,-0.762,1.973
120879,-0.762,1.855
120990,-0.723,1.787
121101,-0.723,1.680
121212,-0.713,1.553
121323,-0.723,1.465
121434,-0.674,1.338
121545,-0.771,1.221
121656,-0.625,1.084
121767,-0.723,0.947
121878,-0.703,0.840
121989,-0.703,0.713
122100,-0.742,0.586
122211,-0.664,0.459
122322,-0.781,0.371
122433,-0.762,0.264
122544,-0.723,0.137
122655,-0.791,0.039
122766,-0.723,-0.059
122877,-0.684,-0.156
122988,-0.615,-0.283
123099,-0.645,-0.381
123210,-0.547,-0.498
123321,-0.576,-0.586
123432,-0.596,-0.664
123543,-0.537,-0.771
123654,-0.557,-0.850
123765,-0.596,-0.947
123876,-0.479,-1.025
123987,-0.508,-1.104
124098,-0.449,-1.191
124209,-0.322,-1.250
124320,-0.313,-1.318
124431,-0.361,-1.367
124542,-0.381,-1.445
124653,-0.254,-1.514
124764,-0.176,-1.563
124875,-0.195,-1.621
124986,-0.010,-1.680
125097,-0.059,-1.729
125208,0.010,-1.777
125319,-0.117,-1.836
125430,0.000,-1.895
125541,-0.059,-1.943
125652,0.039,-1.992
125763,0.020,-2.051
125874,0.078,-2.100
125985,0.166,-2.148
126096,0.156,-2.178
126207,0.186,-2.227
126318,0.264,-2.275
126429,0.215,-2.305
126540,0.234,-2.324
126651,0.205,-2.363
126762,0.400,-2.402
126873,0.273,-2.422
126984,0.322,-2.451
127095,0.322,-2.480
127206,0.352,-2.490
127317,0.273,-2.539
127428,0.322,-2.568
127539,0.449,-2.568
127650,0.479,-2.598
127761,0.381,-2.627
127872,0.322,-2.656
127983,0.381,-2.686
