,Канал: 0,Канал: 1
217000,-0.762,0.781
217250,-0.791,0.488
217500,-0.752,0.234
217750,-0.830,-0.029
218000,-0.752,-0.293
218250,-0.791,-0.566
218500,-0.654,-0.771
218750,-0.713,-0.996
219000,-0.605,-1.201
219250,-0.439,-1.367
219500,-0.430,-1.533
219750,-0.361,-1.689
220000,-0.127,-1.836
220250,-0.078,-1.963
220500,-0.098,-2.090
220750,0.000,-2.236
221000,0.195,-2.363
221250,0.078,-2.461
221500,0.254,-2.549
221750,0.293,-2.617
222000,0.283,-2.695
222250,0.361,-2.764
222500,0.352,-2.822
222750,0.400,-2.891
223000,0.371,-2.949
223250,0.479,-3.066
223500,0.449,-3.184
223750,0.537,-3.291
224000,0.547,-3.350
224250,0.654,-3.340
224500,0.459,-3.262
224750,0.498,-3.027
225000,0.547,-2.822
225250,0.645,-2.617
225500,0.498,-2.432
225750,0.635,-2.217
226000,0.586,-1.992
226250,0.654,-1.738
226500,0.557,-1.445
226750,0.547,-1.133
227000,0.576,-0.820
227250,0.547,-0.547
227500,0.469,-0.254
227750,0.596,0.010
228000,0.557,0.264
228250,0.469,0.527
228500,0.439,0.762
228750,0.371,0.967
229000,0.391,1.162
229250,0.205,1.338
229500,0.137,1.504
229750,-0.068,1.680
230000,-0.059,1.816
230250,-0.176,1.934
230500,-0.244,2.080
230750,-0.215,2.207
231000,-0.391,2.344
231250,-0.381,2.441
231500,-0.381,2.529
231750,-0.488,2.607
232000,-0.527,2.666
232250,-0.625,2.725
232500,-0.635,2.803
232750,-0.693,2.861
233000,-0.645,2.939
233250,-0.664,3.066
233500,-0.664,3.174
233750,-0.703,3.281
234000,-0.928,3.320
234250,-0.713,3.301
234500,-0.820,3.223
234750,-0.840,2.979
235000,-0.938,2.773
235250,-0.859,2.578
235500,-0.859,2.402
235750,-0.791,2.178
236000,-0.889,1.953
236250,-0.742,1.699
236500,-0.889,1.406
236750,-0.850,1.084
237000,-0.713,0.771
237250,-0.771,0.488
237500,-0.820,0.234
237750,-0.889,-0.039
238000,-0.781,-0.303
238250,-0.781,-0.566
238500,-0.781,-0.781
238750,-0.713,-1.006
239000,-0.654,-1.201
239250,-0.498,-1.387
239500,-0.342,-1.533
239750,-0.244,-1.699
240000,-0.117,-1.846
240250,-0.107,-1.963
240500,0.059,-2.090
240750,0.078,-2.227
241000,0.137,-2.354
241250,0.176,-2.461
241500,0.225,-2.549
241750,0.322,-2.617
242000,0.322,-2.695
242250,0.352,-2.764
242500,0.381,-2.822
242750,0.371,-2.891
243000,0.430,-2.959
243250,0.479,-3.076
243500,0.498,-3.193
243750,0.479,-3.281
244000,0.518,-3.359
244250,0.566,-3.340
244500,0.625,-3.242
244750,0.703,-3.018
245000,0.625,-2.822
245250,0.547,-2.627
245500,0.576,-2.432
245750,0.664,-2.227
246000,0.547,-1.992
246250,0.625,-1.738
246500,0.557,-1.455
246750,0.547,-1.143
247000,0.596,-0.820
247250,0.547,-0.537
247500,0.605,-0.264
247750,0.488,0.010
248000,0.605,0.264
248250,0.586,0.527
248500,0.400,0.752
248750,0.400,0.977
249000,0.449,1.162
249250,0.195,1.338
249500,0.117,1.523
249750,0.039,1.660
250000,-0.098,1.816
250250,-0.283,1.934
250500,-0.244,2.070
250750,-0.322,2.207
251000,-0.332,2.344
251250,-0.439,2.432
251500,-0.439,2.529
251750,-0.566,2.598
252000,-0.557,2.676
252250,-0.713,2.725
252500,-0.645,2.793
252750,-0.732,2.861
253000,-0.732,2.930
253250,-0.693,3.047
253500,-0.674,3.164
253750,-0.684,3.271
254000,-0.840,3.320
254250,-0.928,3.291
254500,-0.811,3.232
254750,-0.869,2.979
255000,-0.840,2.803
255250,-0.850,2.598
255500,-0.869,2.393
255750,-0.879,2.188
256000,-0.811,1.963
256250,-0.879,1.709
256500,-0.908,1.406
256750,-0.811,1.084
257000,-0.811,0.781
257250,-0.879,0.508
257500,-0.820,0.225
257750,-0.811,-0.010
258000,-0.752,-0.283
258250,-0.830,-0.557
258500,-0.684,-0.771
258750,-0.723,-1.006
259000,-0.615,-1.201
259250,-0.586,-1.367
259500,-0.439,-1.533
259750,-0.225,-1.689
260000,-0.234,-1.846
260250,-0.186,-1.943
260500,-0.010,-2.100
260750,0.029,-2.236
261000,0.137,-2.363
261250,0.156,-2.451
261500,0.225,-2.539
261750,0.254,-2.617
262000,0.273,-2.695
262250,0.322,-2.773
262500,0.400,-2.822
262750,0.420,-2.881
263000,0.439,-2.949
263250,0.459,-3.066
263500,0.439,-3.184
263750,0.527,-3.281
264000,0.547,-3.350
264250,0.449,-3.340
264500,0.586,-3.252
264750,0.508,-3.027
265000,0.645,-2.822
265250,0.527,-2.627
265500,0.654,-2.422
265750,0.547,-2.217
266000,0.605,-1.992
266250,0.645,-1.748
266500,0.557,-1.455
266750,0.664,-1.133
267000,0.576,-0.811
267250,0.557,-0.537
267500,0.518,-0.283
267750,0.537,0.010
268000,0.508,0.264
268250,0.586,0.527
268500,0.420,0.752
268750,0.518,0.977
269000,0.322,1.152
269250,0.205,1.348
269500,0.098,1.514
269750,0.029,1.670
270000,-0.088,1.807
270250,-0.127,1.943
270500,-0.195,2.080
270750,-0.273,2.217
271000,-0.400,2.344
271250,-0.469,2.441
271500,-0.547,2.520
271750,-0.615,2.607
272000,-0.527,2.676
272250,-0.439,2.725
272500,-0.586,2.793
272750,-0.566,2.861
273000,-0.664,2.939
273250,-0.684,3.047
273500,-0.684,3.174
273750,-0.752,3.271
274000,-0.732,3.320
274250,-0.830,3.301
274500,-0.879,3.213
274750,-0.967,2.969
